session_id,path_group,taxonomy,output,assigned_count,session_samples
S019,ADB-like,three,ordinary_head_motion,534,1136
S019,ADB-like,three,rapid_head_motion,116,1136
S020,ADB-like,six,rapid_turn_rule,39,1063
S020,ADB-like,six,smooth_turn_rule,0,1063
S020,ADB-like,six,moderate_turn_rule,251,1063
S020,ADB-like,six,acceleration_excursion_rule,0,1063
S020,ADB-like,six,low_motion_rule,0,1063
S020,ADB-like,six,residual_rule_output,773,1063
S020,ADB-like,three,low_head_motion,621,1063
S020,ADB-like,three,ordinary_head_motion,403,1063
S020,ADB-like,three,rapid_head_motion,39,1063
S021,ADB-like,six,rapid_turn_rule,4,1163
S021,ADB-like,six,smooth_turn_rule,0,1163
S021,ADB-like,six,moderate_turn_rule,130,1163
S021,ADB-like,six,acceleration_excursion_rule,0,1163
S021,ADB-like,six,low_motion_rule,0,1163
S021,ADB-like,six,residual_rule_output,1029,1163
S021,ADB-like,three,low_head_motion,944,1163
S021,ADB-like,three,ordinary_head_motion,215,1163
S021,ADB-like,three,rapid_head_motion,4,1163
S022,ADB-like,six,rapid_turn_rule,163,1114
S022,ADB-like,six,smooth_turn_rule,0,1114
S022,ADB-like,six,moderate_turn_rule,365,1114
S022,ADB-like,six,acceleration_excursion_rule,0,1114
S022,ADB-like,six,low_motion_rule,0,1114
S022,ADB-like,six,residual_rule_output,586,1114
S022,ADB-like,three,low_head_motion,431,1114
S022,ADB-like,three,ordinary_head_motion,520,1114
S022,ADB-like,three,rapid_head_motion,163,1114
S023,ADB-like,six,rapid_turn_rule,135,1134
S023,ADB-like,six,smooth_turn_rule,0,1134
S023,ADB-like,six,moderate_turn_rule,299,1134
S023,ADB-like,six,acceleration_excursion_rule,0,1134
S023,ADB-like,six,low_motion_rule,0,1134
S023,ADB-like,six,residual_rule_output,700,1134
S023,ADB-like,three,low_head_motion,556,1134
S023,ADB-like,three,ordinary_head_motion,443,1134
S023,ADB-like,three,rapid_head_motion,135,1134
S024,ADB-like,six,rapid_turn_rule,96,1146
S024,ADB-like,six,smooth_turn_rule,0,1146
S024,ADB-like,six,moderate_turn_rule,355,1146
S024,ADB-like,six,acceleration_excursion_rule,0,1146
S024,ADB-like,six,low_motion_rule,0,1146
S024,ADB-like,six,residual_rule_output,695,1146
S024,ADB-like,three,low_head_motion,554,1146
S024,ADB-like,three,ordinary_head_motion,496,1146
S024,ADB-like,three,rapid_head_motion,96,1146
S025,ADB-like,six,rapid_turn_rule,71,1156
S025,ADB-like,six,smooth_turn_rule,0,1156
S025,ADB-like,six,moderate_turn_rule,262,1156
S025,ADB-like,six,acceleration_excursion_rule,0,1156
S025,ADB-like,six,low_motion_rule,0,1156
S025,ADB-like,six,residual_rule_output,823,1156
S025,ADB-like,three,low_head_motion,693,1156
S025,ADB-like,three,ordinary_head_motion,392,1156
S025,ADB-like,three,rapid_head_motion,71,1156
S026,ADB-like,six,rapid_turn_rule,107,1080
S026,ADB-like,six,smooth_turn_rule,0,1080
S026,ADB-like,six,moderate_turn_rule,447,1080
S026,ADB-like,six,acceleration_excursion_rule,0,1080
S026,ADB-like,six,low_motion_rule,0,1080
S026,ADB-like,six,residual_rule_output,526,1080
S026,ADB-like,three,low_head_motion,365,1080
S026,ADB-like,three,ordinary_head_motion,608,1080
S026,ADB-like,three,rapid_head_motion,107,1080
S027,ADB-like,six,rapid_turn_rule,12,1837
S027,ADB-like,six,smooth_turn_rule,0,1837
S027,ADB-like,six,moderate_turn_rule,172,1837
S027,ADB-like,six,acceleration_excursion_rule,0,1837
S027,ADB-like,six,low_motion_rule,0,1837
S027,ADB-like,six,residual_rule_output,1653,1837
S027,ADB-like,three,low_head_motion,1524,1837
S027,ADB-like,three,ordinary_head_motion,301,1837
S027,ADB-like,three,rapid_head_motion,12,1837
S028,ADB-like,six,rapid_turn_rule,11,968
S028,ADB-like,six,smooth_turn_rule,0,968
S028,ADB-like,six,moderate_turn_rule,66,968
S028,ADB-like,six,acceleration_excursion_rule,0,968
S028,ADB-like,six,low_motion_rule,0,968
S028,ADB-like,six,residual_rule_output,891,968
S028,ADB-like,three,low_head_motion,821,968
S028,ADB-like,three,ordinary_head_motion,136,968
S028,ADB-like,three,rapid_head_motion,11,968
S029,ADB-like,six,rapid_turn_rule,20,1814
S029,ADB-like,six,smooth_turn_rule,0,1814
S029,ADB-like,six,moderate_turn_rule,455,1814
S029,ADB-like,six,acceleration_excursion_rule,0,1814
S029,ADB-like,six,low_motion_rule,0,1814
S029,ADB-like,six,residual_rule_output,1339,1814
S029,ADB-like,three,low_head_motion,1042,1814
S029,ADB-like,three,ordinary_head_motion,752,1814
S029,ADB-like,three,rapid_head_motion,20,1814
S030,ADB-like,six,rapid_turn_rule,40,1887
S030,ADB-like,six,smooth_turn_rule,0,1887
S030,ADB-like,six,moderate_turn_rule,301,1887
S030,ADB-like,six,acceleration_excursion_rule,0,1887
S030,ADB-like,six,low_motion_rule,0,1887
S030,ADB-like,six,residual_rule_output,1546,1887
S030,ADB-like,three,low_head_motion,1265,1887
S030,ADB-like,three,ordinary_head_motion,582,1887
S030,ADB-like,three,rapid_head_motion,40,1887
S031,ADB-like,six,rapid_turn_rule,40,1808
S031,ADB-like,six,smooth_turn_rule,0,1808
S031,ADB-like,six,moderate_turn_rule,475,1808
S031,ADB-like,six,acceleration_excursion_rule,0,1808
S031,ADB-like,six,low_motion_rule,0,1808
S031,ADB-like,six,residual_rule_output,1293,1808
S031,ADB-like,three,low_head_motion,1007,1808
S031,ADB-like,three,ordinary_head_motion,761,1808
S031,ADB-like,three,rapid_head_motion,40,1808
S032,ADB-like,six,rapid_turn_rule,19,1797
S032,ADB-like,six,smooth_turn_rule,0,1797
S032,ADB-like,six,moderate_turn_rule,340,1797
S032,ADB-like,six,acceleration_excursion_rule,0,1797
S032,ADB-like,six,low_motion_rule,0,1797
S032,ADB-like,six,residual_rule_output,1438,1797
S032,ADB-like,three,low_head_motion,1152,1797
S032,ADB-like,three,ordinary_head_motion,626,1797
S032,ADB-like,three,rapid_head_motion,19,1797
S033,ADB-like,six,rapid_turn_rule,115,1773
S033,ADB-like,six,smooth_turn_rule,0,1773
S033,ADB-like,six,moderate_turn_rule,447,1773
S033,ADB-like,six,acceleration_excursion_rule,0,1773
S033,ADB-like,six,low_motion_rule,0,1773
S033,ADB-like,six,residual_rule_output,1211,1773
S033,ADB-like,three,low_head_motion,911,1773
S033,ADB-like,three,ordinary_head_motion,747,1773
S033,ADB-like,three,rapid_head_motion,115,1773
S034,ADB-like,six,rapid_turn_rule,39,1729
S034,ADB-like,six,smooth_turn_rule,0,1729
S034,ADB-like,six,moderate_turn_rule,312,1729
S034,ADB-like,six,acceleration_excursion_rule,0,1729
S034,ADB-like,six,low_motion_rule,0,1729
S034,ADB-like,six,residual_rule_output,1378,1729
S034,ADB-like,three,low_head_motion,1177,1729
S034,ADB-like,three,ordinary_head_motion,513,1729
S034,ADB-like,three,rapid_head_motion,39,1729
