threshold,perturb_pct,gaze_pct,head_turn_pct,idle_pct,sudden_turn_pct,scanning_pct,postural_shift_pct,max_abs_shift_pp,mean_abs_shift_pp
gaze_eulerDeltaMax,-30,59.3634,22.1242,12.0442,5.384,0.0,1.0843,0.0,0.0
gaze_eulerDeltaMax,-20,59.3634,22.1242,12.0442,5.384,0.0,1.0843,0.0,0.0
gaze_eulerDeltaMax,-10,59.3634,22.1242,12.0442,5.384,0.0,1.0843,0.0,0.0
gaze_eulerDeltaMax,10,59.3634,22.1242,12.0442,5.384,0.0,1.0843,0.0,0.0
gaze_eulerDeltaMax,20,59.3634,22.1242,12.0442,5.384,0.0,1.0843,0.0,0.0
gaze_eulerDeltaMax,30,59.3634,22.1242,12.0442,5.384,0.0,1.0843,0.0,0.0
postural_accMin,-30,58.8948,22.1242,11.5531,5.384,0.0,2.0439,0.9596,0.3199
postural_accMin,-20,59.0942,22.1242,11.7525,5.384,0.0,1.6451,0.5608,0.1869
postural_accMin,-10,59.2612,22.1242,11.9146,5.384,0.0,1.3161,0.2318,0.0773
postural_accMin,10,59.4357,22.1242,12.1713,5.384,0.0,0.8849,0.1994,0.0665
postural_accMin,20,59.483,22.1242,12.2785,5.384,0.0,0.7303,0.3539,0.118
postural_accMin,30,59.5254,22.1242,12.3557,5.384,0.0,0.6107,0.4736,0.1579
